elapsed_ms,kind,detail
501,rate_change,50.0
768,rate_change,60.0
836,rate_change,70.0
949,rate_change,80.0
985,rate_change,90.0
1051,rate_change,100.0
1128,rate_change,110.0
1210,rate_change,120.0
1288,rate_change,130.0
1377,rate_change,140.0
1508,rate_change,150.0
1585,rate_change,160.0
1611,rate_change,170.0
1688,rate_change,180.0
1770,rate_change,190.0
1848,rate_change,200.0
1928,rate_change,210.0
2009,rate_change,220.0
2088,rate_change,230.0
2169,rate_change,240.0
2248,rate_change,250.0
2330,rate_change,260.0
2410,rate_change,270.0
2489,rate_change,280.0
2568,rate_change,290.0
2627,worsening,0
2631,rate_change,145.0
2802,recovered,
2808,rate_change,155.0
2888,rate_change,165.0
2969,rate_change,175.0
3049,rate_change,185.0
3128,rate_change,195.0
3208,rate_change,205.0
3288,rate_change,215.0
3371,rate_change,225.0
3449,rate_change,235.0
3528,rate_change,245.0
3608,rate_change,255.0
3688,rate_change,265.0
3768,rate_change,275.0
3855,rate_change,285.0
3930,rate_change,295.0
4008,rate_change,305.0
4077,worsening,0
4080,rate_change,152.5
4177,recovered,
4248,rate_change,162.5
4328,rate_change,172.5
4408,rate_change,182.5
4489,rate_change,192.5
4568,rate_change,202.5
4648,rate_change,212.5
4729,rate_change,222.5
4808,rate_change,232.5
4906,rate_change,242.5
4971,rate_change,252.5
5053,rate_change,262.5
5140,rate_change,272.5
5289,rate_change,282.5
5384,worsening,0
5389,rate_change,292.5
5404,rate_change,146.25
5527,recovered,
5528,rate_change,156.25
5608,rate_change,166.25
5688,rate_change,176.25
5768,rate_change,186.25
5848,rate_change,196.25
5928,rate_change,206.25
6008,rate_change,216.25
6088,rate_change,226.25
6168,rate_change,236.25
6248,rate_change,246.25
6328,rate_change,256.25
6408,rate_change,266.25
6488,rate_change,276.25
6568,rate_change,286.25
6648,rate_change,296.25
6727,rate_change,148.125
6727,worsening,0
6877,recovered,
6889,rate_change,158.125
6968,rate_change,168.125
7048,rate_change,178.125
7128,rate_change,188.125
7208,rate_change,198.125
7288,rate_change,208.125
7368,rate_change,218.125
7448,rate_change,228.125
7528,rate_change,238.125
7609,rate_change,248.125
7688,rate_change,258.125
7768,rate_change,268.125
7848,rate_change,278.125
