elapsed_ms,kind,detail
344,rate_change,50.0
646,rate_change,60.0
736,rate_change,70.0
869,rate_change,80.0
908,rate_change,90.0
946,rate_change,100.0
1028,rate_change,110.0
1102,rate_change,120.0
1184,rate_change,130.0
1261,rate_change,140.0
1359,rate_change,150.0
1436,rate_change,160.0
1503,rate_change,170.0
1587,rate_change,180.0
1674,rate_change,190.0
1754,rate_change,200.0
1823,worsening,0
1831,rate_change,210.0
1838,rate_change,105.0
1972,recovered,
1984,rate_change,115.0
2061,rate_change,125.0
2142,rate_change,135.0
2221,rate_change,145.0
2301,rate_change,155.0
2382,rate_change,165.0
2464,rate_change,175.0
2541,rate_change,185.0
2625,rate_change,195.0
2672,worsening,0
2673,rate_change,97.5
2847,recovered,
2861,rate_change,107.5
2945,rate_change,117.5
3021,rate_change,127.5
3102,rate_change,137.5
3185,rate_change,147.5
3309,rate_change,157.5
3345,rate_change,167.5
3421,rate_change,177.5
3504,rate_change,187.5
3589,rate_change,197.5
3647,worsening,0
3648,rate_change,98.75
3797,recovered,
3821,rate_change,108.75
3901,rate_change,118.75
3982,rate_change,128.75
4061,rate_change,138.75
4141,rate_change,148.75
4221,rate_change,158.75
4302,rate_change,168.75
4382,rate_change,178.75
4461,rate_change,188.75
4542,rate_change,198.75
4627,worsening,0
4634,rate_change,99.375
4772,recovered,
4781,rate_change,109.375
4863,rate_change,119.375
4946,rate_change,129.375
5050,rate_change,139.375
5101,rate_change,149.375
5182,rate_change,159.375
5286,rate_change,169.375
5343,rate_change,179.375
5421,rate_change,189.375
5497,worsening,0
5498,rate_change,94.6875
5647,recovered,
5669,rate_change,104.6875
5743,rate_change,114.6875
5821,rate_change,124.6875
5901,rate_change,134.6875
5982,rate_change,144.6875
6062,rate_change,154.6875
6141,rate_change,164.6875
6222,rate_change,174.6875
6301,rate_change,184.6875
6385,rate_change,194.6875
6461,rate_change,204.6875
6541,rate_change,214.6875
6621,rate_change,224.6875
6702,rate_change,234.6875
6781,rate_change,244.6875
6861,rate_change,254.6875
6941,rate_change,264.6875
7021,rate_change,274.6875
7102,rate_change,284.6875
7182,rate_change,294.6875
7262,rate_change,304.6875
7342,rate_change,314.6875
7421,rate_change,324.6875
7503,rate_change,334.6875
7581,rate_change,344.6875
7661,rate_change,354.6875
7743,rate_change,364.6875
7821,rate_change,374.6875
7902,rate_change,384.6875
7983,rate_change,394.6875
8061,rate_change,400.0
