elapsed_ms,kind,detail
344,rate_change,50.0
602,worsening,0
737,recovered,
892,rate_change,60.0
911,rate_change,70.0
950,rate_change,80.0
1028,rate_change,90.0
1107,rate_change,100.0
1182,rate_change,110.0
1263,rate_change,120.0
1292,worsening,0
1293,rate_change,60.0
1410,recovered,
1436,rate_change,70.0
1503,rate_change,80.0
1586,rate_change,90.0
1668,rate_change,100.0
1746,worsening,0
1756,rate_change,50.0
1917,recovered,
1984,rate_change,60.0
2063,rate_change,70.0
2143,rate_change,80.0
2222,rate_change,90.0
2302,rate_change,100.0
2382,rate_change,110.0
2464,rate_change,120.0
2542,rate_change,130.0
2625,rate_change,140.0
2703,rate_change,150.0
2782,rate_change,160.0
2864,rate_change,170.0
2945,rate_change,180.0
2968,worsening,0
2969,rate_change,90.0
4443,recovered,
4467,rate_change,100.0
4544,rate_change,110.0
4635,rate_change,120.0
4709,rate_change,130.0
4782,rate_change,140.0
4863,rate_change,150.0
4946,rate_change,160.0
5047,rate_change,170.0
5102,rate_change,180.0
5182,rate_change,190.0
5282,worsening,0
5286,rate_change,95.0
6717,recovered,
6782,rate_change,105.0
6862,rate_change,115.0
6942,rate_change,125.0
7023,rate_change,135.0
7102,rate_change,145.0
7182,rate_change,155.0
7262,rate_change,165.0
7342,rate_change,175.0
7422,rate_change,185.0
7503,rate_change,195.0
7567,rate_change,97.5
7567,worsening,0
9042,recovered,
9102,rate_change,107.5
9182,rate_change,117.5
9262,rate_change,127.5
9342,rate_change,137.5
9424,rate_change,147.5
9502,rate_change,157.5
9582,rate_change,167.5
9662,rate_change,177.5
9742,rate_change,187.5
9824,rate_change,197.5
9868,rate_change,98.75
9868,worsening,0
11376,recovered,
11423,rate_change,108.75
11502,rate_change,118.75
11582,rate_change,128.75
11662,rate_change,138.75
11742,rate_change,148.75
11823,rate_change,158.75
11902,rate_change,168.75
11982,rate_change,178.75
12062,rate_change,188.75
12142,rate_change,198.75
12222,rate_change,208.75
12303,rate_change,218.75
