elapsed_ms,kind,detail
344,rate_change,50.0
665,rate_change,60.0
738,rate_change,70.0
864,rate_change,80.0
908,rate_change,90.0
940,rate_change,100.0
1016,rate_change,110.0
1096,rate_change,120.0
1176,rate_change,130.0
1256,rate_change,140.0
1337,rate_change,150.0
1452,rate_change,160.0
1502,rate_change,170.0
1579,rate_change,180.0
1665,worsening,0
1676,rate_change,190.0
1694,rate_change,95.0
5084,worsening,1
5085,rate_change,50.0
5184,recovering,1
5359,recovered,
5415,rate_change,60.0
5501,rate_change,70.0
5588,rate_change,80.0
5663,rate_change,90.0
5735,rate_change,100.0
5815,rate_change,110.0
5895,rate_change,120.0
5975,rate_change,130.0
6034,rate_change,65.0
6034,worsening,0
6209,recovered,
6215,rate_change,75.0
6295,rate_change,85.0
6379,rate_change,95.0
6386,worsening,0
6391,rate_change,50.0
6659,recovered,
6695,rate_change,60.0
6775,rate_change,70.0
6855,rate_change,80.0
6935,rate_change,90.0
7015,rate_change,100.0
7095,rate_change,110.0
7175,rate_change,120.0
7257,rate_change,130.0
7335,rate_change,140.0
7415,rate_change,150.0
7495,rate_change,160.0
7575,rate_change,170.0
7657,rate_change,180.0
7736,rate_change,190.0
7817,rate_change,200.0
7895,rate_change,210.0
7975,rate_change,220.0
8055,rate_change,230.0
8135,rate_change,240.0
8216,rate_change,250.0
8296,rate_change,260.0
8376,rate_change,270.0
8455,rate_change,280.0
8535,rate_change,290.0
8615,rate_change,300.0
8695,rate_change,310.0
8775,rate_change,320.0
8858,rate_change,330.0
8935,rate_change,340.0
9015,rate_change,350.0
9095,rate_change,360.0
9175,rate_change,370.0
9255,rate_change,380.0
9335,rate_change,390.0
9415,rate_change,400.0
