elapsed_ms,kind,detail
344,rate_change,50.0
665,rate_change,60.0
738,rate_change,70.0
865,rate_change,80.0
912,rate_change,90.0
947,rate_change,100.0
1018,rate_change,110.0
1101,rate_change,120.0
1177,rate_change,130.0
1257,rate_change,140.0
1355,rate_change,150.0
1438,rate_change,160.0
1502,rate_change,170.0
1579,rate_change,180.0
1678,rate_change,190.0
1739,rate_change,200.0
1809,worsening,0
1813,rate_change,100.0
1959,recovered,
1982,rate_change,110.0
2056,rate_change,120.0
2136,rate_change,130.0
2216,rate_change,140.0
2296,rate_change,150.0
2376,rate_change,160.0
2457,rate_change,170.0
2538,rate_change,180.0
2619,rate_change,190.0
2696,rate_change,200.0
2736,worsening,0
2737,rate_change,100.0
2858,recovered,
2936,rate_change,110.0
3017,rate_change,120.0
3096,rate_change,130.0
3183,rate_change,140.0
3257,rate_change,150.0
3337,rate_change,160.0
3416,rate_change,170.0
3496,rate_change,180.0
3576,rate_change,190.0
3658,rate_change,200.0
3734,worsening,0
3735,rate_change,100.0
3859,recovered,
3896,rate_change,110.0
3976,rate_change,120.0
4058,rate_change,130.0
4136,rate_change,140.0
4219,rate_change,150.0
4296,rate_change,160.0
4379,rate_change,170.0
4457,rate_change,180.0
4537,rate_change,190.0
4617,rate_change,200.0
4634,worsening,0
4641,rate_change,100.0
4759,recovered,
4776,rate_change,110.0
4856,rate_change,120.0
4946,rate_change,130.0
5047,rate_change,140.0
5096,rate_change,150.0
5176,rate_change,160.0
5291,rate_change,170.0
5337,rate_change,180.0
5416,rate_change,190.0
5459,rate_change,95.0
5459,worsening,0
5587,recovered,
5663,rate_change,105.0
5737,rate_change,115.0
5817,rate_change,125.0
5896,rate_change,135.0
5976,rate_change,145.0
6056,rate_change,155.0
6136,rate_change,165.0
6216,rate_change,175.0
6296,rate_change,185.0
6379,rate_change,195.0
6434,worsening,0
6435,rate_change,97.5
6540,recovered,
6616,rate_change,107.5
6695,rate_change,117.5
6776,rate_change,127.5
