elapsed_ms,kind,detail
499,rate_change,50.0
786,rate_change,60.0
859,rate_change,70.0
941,rate_change,80.0
999,rate_change,90.0
1074,rate_change,100.0
1150,rate_change,110.0
1230,rate_change,120.0
1310,rate_change,130.0
1391,rate_change,140.0
1530,rate_change,150.0
1582,rate_change,160.0
1636,rate_change,170.0
1715,rate_change,180.0
1789,rate_change,190.0
1879,rate_change,200.0
1952,rate_change,210.0
2029,rate_change,220.0
2110,rate_change,230.0
2118,worsening,0
2122,rate_change,115.0
2244,recovered,
2270,rate_change,125.0
2350,rate_change,135.0
2429,rate_change,145.0
2510,rate_change,155.0
2592,rate_change,165.0
2671,rate_change,175.0
2749,rate_change,185.0
2831,rate_change,195.0
2913,rate_change,205.0
2989,rate_change,215.0
3075,rate_change,225.0
3149,rate_change,235.0
3194,rate_change,117.5
3194,worsening,0
3318,recovered,
3389,rate_change,127.5
3470,rate_change,137.5
3550,rate_change,147.5
3629,rate_change,157.5
3712,rate_change,167.5
3790,rate_change,177.5
3870,rate_change,187.5
3950,rate_change,197.5
4030,rate_change,207.5
4110,rate_change,217.5
4189,rate_change,227.5
4243,worsening,0
4244,rate_change,113.75
4368,recovered,
4429,rate_change,123.75
4509,rate_change,133.75
4589,rate_change,143.75
4675,rate_change,153.75
4751,rate_change,163.75
4831,rate_change,173.75
4868,worsening,0
4870,rate_change,86.875
4997,recovered,
5137,rate_change,96.875
5159,rate_change,106.875
5288,rate_change,116.875
5358,rate_change,126.875
5406,rate_change,136.875
5469,rate_change,146.875
5565,rate_change,156.875
5630,rate_change,166.875
5709,rate_change,176.875
5718,rate_change,88.4375
5718,worsening,0
5843,recovered,
5870,rate_change,98.4375
5949,rate_change,108.4375
6029,rate_change,118.4375
6110,rate_change,128.4375
6190,rate_change,138.4375
6270,rate_change,148.4375
6349,rate_change,158.4375
6429,rate_change,168.4375
6509,rate_change,178.4375
6518,rate_change,89.21875
6518,worsening,0
6643,recovered,
6670,rate_change,99.21875
6749,rate_change,109.21875
6829,rate_change,119.21875
6915,rate_change,129.21875
6991,rate_change,139.21875
7069,rate_change,149.21875
7149,rate_change,159.21875
7229,rate_change,169.21875
7293,worsening,0
7294,rate_change,84.609375
7368,recovered,
7390,rate_change,94.609375
7469,rate_change,104.609375
7550,rate_change,114.609375
7658,rate_change,124.609375
7709,rate_change,134.609375
7789,rate_change,144.609375
7869,rate_change,154.609375
7900,worsening,0
7902,rate_change,77.3046875
8043,recovered,
8109,rate_change,87.3046875
8258,rate_change,97.3046875
8270,rate_change,107.3046875
8349,rate_change,117.3046875
8429,rate_change,127.3046875
8510,rate_change,137.3046875
8589,rate_change,147.3046875
8594,rate_change,73.65234375
8594,worsening,0
8719,recovered,
8749,rate_change,83.65234375
8829,rate_change,93.65234375
8909,rate_change,103.65234375
8989,rate_change,113.65234375
9069,rate_change,123.65234375
9149,rate_change,133.65234375
9229,rate_change,143.65234375
9309,rate_change,153.65234375
9318,worsening,0
9319,rate_change,76.826171875
9469,rate_change,86.826171875
9469,recovered,
9550,rate_change,96.826171875
9629,rate_change,106.826171875
9709,rate_change,116.826171875
9789,rate_change,126.826171875
9869,rate_change,136.826171875
9949,rate_change,146.826171875
9968,worsening,0
9969,rate_change,73.4130859375
10068,recovered,
10110,rate_change,83.4130859375
10189,rate_change,93.4130859375
10269,rate_change,103.4130859375
10349,rate_change,113.4130859375
10429,rate_change,123.4130859375
10509,rate_change,133.4130859375
10589,rate_change,143.4130859375
10619,rate_change,71.70654296875
10619,worsening,0
10718,recovered,
10749,rate_change,81.70654296875
10829,rate_change,91.70654296875
