elapsed_ms,kind,detail
344,rate_change,50.0
672,rate_change,60.0
738,rate_change,70.0
868,rate_change,80.0
907,rate_change,90.0
947,rate_change,100.0
1016,rate_change,110.0
1095,rate_change,120.0
1176,rate_change,130.0
1256,rate_change,140.0
1339,rate_change,150.0
1466,rate_change,160.0
1502,rate_change,170.0
1579,rate_change,180.0
1668,rate_change,190.0
1739,rate_change,200.0
1813,worsening,0
1821,rate_change,100.0
1935,recovered,
1979,rate_change,110.0
2055,rate_change,120.0
2136,rate_change,130.0
2216,rate_change,140.0
2295,rate_change,150.0
2375,rate_change,160.0
2457,rate_change,170.0
2538,rate_change,180.0
2618,rate_change,190.0
2696,rate_change,200.0
2776,rate_change,210.0
2787,rate_change,105.0
2787,worsening,0
2935,recovered,
3017,rate_change,115.0
3095,rate_change,125.0
3183,rate_change,135.0
3257,rate_change,145.0
3337,rate_change,155.0
3416,rate_change,165.0
3495,rate_change,175.0
3577,rate_change,185.0
3655,rate_change,195.0
3735,rate_change,205.0
3760,worsening,0
3762,rate_change,102.5
3885,recovered,
3895,rate_change,112.5
3975,rate_change,122.5
4058,rate_change,132.5
4135,rate_change,142.5
4219,rate_change,152.5
4295,rate_change,162.5
4380,rate_change,172.5
4457,rate_change,182.5
4535,rate_change,192.5
4616,rate_change,202.5
4706,rate_change,212.5
4775,rate_change,222.5
4856,rate_change,232.5
4942,rate_change,242.5
5047,rate_change,252.5
5096,rate_change,262.5
5175,rate_change,272.5
5287,rate_change,282.5
5335,rate_change,292.5
5410,rate_change,146.25
5410,worsening,0
5535,recovered,
5587,rate_change,156.25
5662,rate_change,166.25
5736,rate_change,176.25
5815,rate_change,186.25
5895,rate_change,196.25
5975,rate_change,206.25
6056,rate_change,216.25
6135,rate_change,226.25
6215,rate_change,236.25
6295,rate_change,246.25
6379,rate_change,256.25
6456,rate_change,266.25
6537,rate_change,276.25
6615,rate_change,286.25
6695,rate_change,296.25
6775,rate_change,306.25
6855,rate_change,316.25
6935,rate_change,326.25
7015,rate_change,336.25
7095,rate_change,346.25
7175,rate_change,356.25
7257,rate_change,366.25
7335,rate_change,376.25
7415,rate_change,386.25
7495,rate_change,396.25
7576,rate_change,400.0
